c1;c2
25_de_agosto;Cardal
Cardal;25_de_mayo
25_de_mayo;Florida
Fray Marcos;Florida
Fray Marcos;Casupa
Florida;Casupa
Casupa;Alejandro Gallinal
Florida;Alejandro Gallinal
Alejandro Gallinal;Sarandi grande
Florida;Sarandi grande
